material,Thermal conductivity (W/mK),Source
"(White) gypsum plaster, painted",0.18,https://www.nde-ed.org/Physics/Materials/Physical_Chemical/ThermalConductivity.xhtml
12 cm X 16 cm timber frame construction ,0.173,https://www.semanticscholar.org/paper/Thermal-characterization-of-building-assemblies-by-Soret-L%C3%A1zaro/42d5ee17df25a5bb4f7424cebf8ee2bb2b22e86a
3-layer solid wood panel,0.12,https://link.springer.com/article/10.1007/s00107-016-1021-60.12
3-layer solid wood panel PVAc-bound,0.12,https://link.springer.com/article/10.1007/s00107-016-1021-60.12
5-layer insulated (glass wool) wood panel,0.12,https://link.springer.com/article/10.1007/s00107-016-1021-60.12
8cm x 12cm timber frame construction with intermediate rock wool insulation ,0.034,https://www.rockwool.com/uk/products-and-applications/product-overview/cladding-solutions/timber-frame-slab/?selectedCat=downloads
Adhesive mortar ,2,https://www.researchgate.net/publication/342902505_Thermal_properties_of_cement_mortar_with_different_mix_proportions
Air cavity,0.024,https://www.nde-ed.org/Physics/Materials/Physical_Chemical/ThermalConductivity.xhtml
Anhydrite floor,2.2,https://www.easyflow.org.uk/common-questions-liquid-floor-screed/
Base plaster,0.35,https://www.engineeringtoolbox.com/thermal-conductivity-d_429.html
Bitumen sealing,0.17,https://www.engineeringtoolbox.com/thermal-conductivity-d_429.html
Bitumen waterproofing membrane GV2,0.17,https://www.engineeringtoolbox.com/thermal-conductivity-d_429.html
Bituminous geomembrane,0.17,https://www.engineeringtoolbox.com/thermal-conductivity-d_429.html
Bituminous vapour barrier,0.17,https://www.engineeringtoolbox.com/thermal-conductivity-d_429.html
Box beam element with intermediate cellu- lose insulation,0.17,https://www.engineeringtoolbox.com/thermal-conductivity-d_429.html
Brickwork,0.8,https://www.engineeringtoolbox.com/thermal-conductivity-d_429.html
Brickwork (concrete brick),1.6,https://www.engineeringtoolbox.com/thermal-conductivity-d_429.html
Cellulose fibres injected  ,0.25,https://www.engineeringtoolbox.com/thermal-conductivity-d_429.html
